,page,country,rev_id,ores_score,FIPS,Name,Type,TimeFrame,Data (M),Population
14841,Taimur bin Feisal,Omani,767885927,"{""B"": 0.22076661393178043, ""C"": 0.3189293830163246, ""FA"": 0.0050346473698036414, ""GA"": 0.010424730122809119, ""Start"": 0.4263783286238434, ""Stub"": 0.018466296935438813}",,,,,,
14860,Atatoa Herman,Cook Island,767994335,"{""B"": 0.009900076265485374, ""C"": 0.022638257943823584, ""FA"": 0.0019704396190961945, ""GA"": 0.004542967360543704, ""Start"": 0.1967292503855046, ""Stub"": 0.7642190084255466}",,,,,,
14903,Antonín Cyril Stojan,Czech Republic,768047769,"{""B"": 0.07664453232639178, ""C"": 0.5776739317443009, ""FA"": 0.004851401810442537, ""GA"": 0.02095135746389866, ""Start"": 0.3131100243098822, ""Stub"": 0.0067687523450837474}",,,,,,
14949,Jean Andeka,"Congo, Dem. Rep. of",768228272,"{""B"": 0.007577268126655696, ""C"": 0.010527253171079134, ""FA"": 0.001253369199486721, ""GA"": 0.0024200724160107338, ""Start"": 0.06079466011993339, ""Stub"": 0.9174273769668344}",,,,,,
14967,Jean-Louis Billon,Ivorian,768302622,"{""B"": 0.1134392322415981, ""C"": 0.25503213008758235, ""FA"": 0.004249114712984747, ""GA"": 0.007895217829273295, ""Start"": 0.6059703744851882, ""Stub"": 0.01341393064337336}",,,,,,
15042,Ambrose Sherwill,Guernsey,768625520,"{""B"": 0.22218355128466588, ""C"": 0.6047198700492356, ""FA"": 0.0054427120128473635, ""GA"": 0.031014849134168528, ""Start"": 0.13002227784971504, ""Stub"": 0.006616739669367667}",,,,,,
15051,Aimé Ngoy Mukena,"Congo, Dem. Rep. of",768670214,"{""B"": 0.2596220402939276, ""C"": 0.4038670945475413, ""FA"": 0.005868264616796728, ""GA"": 0.019460540513719673, ""Start"": 0.2969839958904028, ""Stub"": 0.014198064137611804}",,,,,,
15052,František Kubka,Czech Republic,768676716,"{""B"": 0.010622909969434597, ""C"": 0.011599463858334234, ""FA"": 0.0015810368669022202, ""GA"": 0.0027643346218106657, ""Start"": 0.07024089439154302, ""Stub"": 0.9031913602919754}",,,,,,
15053,David G. P. Taylor,Montserratian,768679602,"{""B"": 0.054886793103748936, ""C"": 0.1779455744441033, ""FA"": 0.004958104195402743, ""GA"": 0.012757052790733098, ""Start"": 0.6932578030811836, ""Stub"": 0.05619467238482834}",,,,,,
15269,Ivan Tavčar,Carniolan,769425247,"{""B"": 0.179483467794162, ""C"": 0.6786414611045037, ""FA"": 0.005340448916836993, ""GA"": 0.0075815817330012174, ""Start"": 0.12478535355333187, ""Stub"": 0.004167686898164158}",,,,,,
15318,Francisco Dueñas,Salvadoran,769575358,"{""B"": 0.01057635610822005, ""C"": 0.01678410587946875, ""FA"": 0.0020378623980966126, ""GA"": 0.0032102733768660523, ""Start"": 0.12275732216452231, ""Stub"": 0.8446340800728261}",,,,,,
15321,Robert Beugré Mambé,Ivorian,769591168,"{""B"": 0.01221405219474167, ""C"": 0.012149604438203447, ""FA"": 0.0019974179835560036, ""GA"": 0.0033170917535416396, ""Start"": 0.1457133457729817, ""Stub"": 0.8246084878569755}",,,,,,
15414,Michael Jackson (journalist),Niuean,770018880,"{""B"": 0.03613032647538181, ""C"": 0.08285755647723847, ""FA"": 0.003754915916603502, ""GA"": 0.00968143142558706, ""Start"": 0.6498471983177015, ""Stub"": 0.21772857138748747}",,,,,,
15434,Sarita Francis,Montserratian,770131970,"{""B"": 0.18610216095311194, ""C"": 0.27792568704433895, ""FA"": 0.005665438800410319, ""GA"": 0.052425500108096545, ""Start"": 0.4324285361496515, ""Stub"": 0.045452676944390764}",,,,,,
15539,Kim Wan-ju,South Korean,770622878,"{""B"": 0.005790845375075051, ""C"": 0.006437439327261656, ""FA"": 0.0010296975850096577, ""GA"": 0.0015859812649389104, ""Start"": 0.016279030380622648, ""Stub"": 0.9688770060670922}",,,,,,
15540,Park Yong-jin,South Korean,770623036,"{""B"": 0.061965128934286774, ""C"": 0.2349440840843921, ""FA"": 0.006030661456621148, ""GA"": 0.016355170719956732, ""Start"": 0.6068017534446757, ""Stub"": 0.07390320136006766}",,,,,,
15547,Rafael Zaldívar,Salvadoran,770682721,"{""B"": 0.041784412050101825, ""C"": 0.08667485936155765, ""FA"": 0.006483682508135927, ""GA"": 0.014408509226473257, ""Start"": 0.5516137730592485, ""Stub"": 0.2990347637944826}",,,,,,
15558,Abdourahmane Cissé,Ivorian,770710515,"{""B"": 0.1251515694100913, ""C"": 0.4319745615289567, ""FA"": 0.004231831339201704, ""GA"": 0.0087781730460448, ""Start"": 0.4237393308637772, ""Stub"": 0.006124533811928255}",,,,,,
15565,Lee Jong-kul,South Korean,770757174,"{""B"": 0.0203859042469028, ""C"": 0.042081246672118246, ""FA"": 0.0027685644534157826, ""GA"": 0.005768133598336748, ""Start"": 0.12759629055075628, ""Stub"": 0.8013998604784702}",,,,,,
15567,Aleqa Hammond,Greenlandic,770757601,"{""B"": 0.1762952591269902, ""C"": 0.3071481047295517, ""FA"": 0.004820363881952505, ""GA"": 0.019786936748172362, ""Start"": 0.4813076394533024, ""Stub"": 0.010641696060030969}",,,,,,
15570,Kim Hyun-jong,South Korean,770760118,"{""B"": 0.011722771721506415, ""C"": 0.014742366186103707, ""FA"": 0.0019078662184709551, ""GA"": 0.0030646874419084373, ""Start"": 0.21528237503106795, ""Stub"": 0.7532799334009425}",,,,,,
15579,Richard Frederick,Saint Lucian,770812205,"{""B"": 0.06524084999434202, ""C"": 0.20486811852662912, ""FA"": 0.0046325309019988724, ""GA"": 0.00804210711615296, ""Start"": 0.6833215398027289, ""Stub"": 0.03389485365814822}",,,,,,
15580,Oliver Plunkett (judge),Saint Lucian,770813700,"{""B"": 0.010600736213951798, ""C"": 0.013970248299190293, ""FA"": 0.0019332508670857585, ""GA"": 0.0034628459714143543, ""Start"": 0.16523926728365826, ""Stub"": 0.8047936513646995}",,,,,,
15581,Gale Rigobert,Saint Lucian,770814043,"{""B"": 0.011697805249636753, ""C"": 0.02260024928663942, ""FA"": 0.002042868744798638, ""GA"": 0.005052712770328074, ""Start"": 0.25129984872625105, ""Stub"": 0.707306515222346}",,,,,,
15586,Frederick Ballantyne,Saint Vincent and the Grenadines,770827509,"{""B"": 0.29625332207426164, ""C"": 0.45108191893755334, ""FA"": 0.006554096316865029, ""GA"": 0.048045313750845024, ""Start"": 0.18499056011131235, ""Stub"": 0.013074788809162841}",,,,,,
15587,Terrance Ollivierre,Saint Vincent and the Grenadines,770829069,"{""B"": 0.022152331624595987, ""C"": 0.050792005532254235, ""FA"": 0.0036840922500006395, ""GA"": 0.010051838536765847, ""Start"": 0.5062416787868582, ""Stub"": 0.4070780532695251}",,,,,,
15682,Duncan MacIntyre (New Zealand politician),Tokelauan,770994352,"{""B"": 0.1042205657482333, ""C"": 0.44112228817814597, ""FA"": 0.007037763838715896, ""GA"": 0.07942983623651477, ""Start"": 0.3533757782291001, ""Stub"": 0.014813767769290057}",,,,,,
15701,Milton Cato,Saint Vincent and the Grenadines,771015590,"{""B"": 0.04761336569058916, ""C"": 0.07485738235126013, ""FA"": 0.004019957044651237, ""GA"": 0.006788540331703475, ""Start"": 0.7065588017977843, ""Stub"": 0.1601619527840116}",,,,,,
15714,William Schreiner,Cape Colony,771024710,"{""B"": 0.099689564730513, ""C"": 0.42307452903108583, ""FA"": 0.005373195513511962, ""GA"": 0.008865323418888682, ""Start"": 0.4465319240844388, ""Stub"": 0.016465463221561817}",,,,,,
15767,Enetama Lipitoa,Niuean,771152922,"{""B"": 0.010943087508746773, ""C"": 0.012651061304519427, ""FA"": 0.0017528075011677613, ""GA"": 0.003908054927662448, ""Start"": 0.07100037700799516, ""Stub"": 0.8997446117499085}",,,,,,
15815,Tuala Falenaoti Tiresa Malietoa,Samoan,771267864,"{""B"": 0.007336833171502161, ""C"": 0.008562135168305611, ""FA"": 0.0012700513428888316, ""GA"": 0.0021760105912251647, ""Start"": 0.02485014394048796, ""Stub"": 0.9558048257855902}",,,,,,
15826,David Brandt (politician),Montserratian,771351774,"{""B"": 0.010443731877735967, ""C"": 0.009928992988810982, ""FA"": 0.0014639787140385164, ""GA"": 0.0024673186752481443, ""Start"": 0.053049329239147666, ""Stub"": 0.9226466485050187}",,,,,,
15827,Bertrand Osborne,Montserratian,771351955,"{""B"": 0.008214656262786859, ""C"": 0.010918131244119483, ""FA"": 0.0015484768047247946, ""GA"": 0.002946286445996997, ""Start"": 0.027429577470897075, ""Stub"": 0.948942871771475}",,,,,,
15828,Percival Austin Bramble,Montserratian,771352057,"{""B"": 0.010082100658657263, ""C"": 0.019019066322277872, ""FA"": 0.0016826068919396015, ""GA"": 0.0030016044923346988, ""Start"": 0.12648234468515795, ""Stub"": 0.8397322769496325}",,,,,,
15872,Russell Marshall,Tokelauan,771460602,"{""B"": 0.10638636829104552, ""C"": 0.5468921820608196, ""FA"": 0.005092264090199769, ""GA"": 0.04062756932092043, ""Start"": 0.29392769476061803, ""Stub"": 0.007073921476396496}",,,,,,
15904,Toi Aukuso Cain,Samoan,771651038,"{""B"": 0.014517121069908294, ""C"": 0.02752294662676075, ""FA"": 0.0028203991207552803, ""GA"": 0.005082406579389216, ""Start"": 0.2556683666991759, ""Stub"": 0.6943887599040106}",,,,,,
15913,Goran Mitevski,Macedonia,771736771,"{""B"": 0.0059612035365501255, ""C"": 0.008330263404609762, ""FA"": 0.0011389496878932803, ""GA"": 0.0022051025039231094, ""Start"": 0.02652333453637294, ""Stub"": 0.955841146330651}",,,,,,
16008,Aimé Boji,"Congo, Dem. Rep. of",772045942,"{""B"": 0.016702969296189463, ""C"": 0.04002957777825786, ""FA"": 0.0028070287058807437, ""GA"": 0.006329708944990328, ""Start"": 0.30124392401238514, ""Stub"": 0.6328867912622964}",,,,,,
16047,Isa Gendergenoevsky,Chechen,772274868,"{""B"": 0.010786956133746795, ""C"": 0.017717972058087925, ""FA"": 0.0019294529130480323, ""GA"": 0.0034424526111258456, ""Start"": 0.08020147773703765, ""Stub"": 0.8859216885469537}",,,,,,
16053,Léonard Mulamba,"Congo, Dem. Rep. of",772317052,"{""B"": 0.03361021065615984, ""C"": 0.06496604350616883, ""FA"": 0.005269474246753856, ""GA"": 0.009640343427782036, ""Start"": 0.6487306865278996, ""Stub"": 0.2377832416352359}",,,,,,
16080,"Kruger House, Pretoria",South African Republic,772410051,"{""B"": 0.011934466389247878, ""C"": 0.014165398494735902, ""FA"": 0.001983894997353955, ""GA"": 0.003141211899386028, ""Start"": 0.11414856097147734, ""Stub"": 0.8546264672477989}",,,,,,
16166,Noel K Tshiani Muadiamvita,"Congo, Dem. Rep. of",772818039,"{""B"": 0.3444241045031135, ""C"": 0.49127543904053533, ""FA"": 0.020439980784672376, ""GA"": 0.0593539269328589, ""Start"": 0.08026234430478654, ""Stub"": 0.004244204434033474}",,,,,,
16177,Nicolau dos Reis Lobato,East Timorese,772890380,"{""B"": 0.016505807302418626, ""C"": 0.027818002834160818, ""FA"": 0.003076760552217243, ""GA"": 0.005003835598319839, ""Start"": 0.32917968381715706, ""Stub"": 0.6184159098957264}",,,,,,
16302,Philip Bailhache,Jersey,773230341,"{""B"": 0.18751233820087992, ""C"": 0.5774395644095127, ""FA"": 0.0097644613702002, ""GA"": 0.14066431947422914, ""Start"": 0.07803771864271929, ""Stub"": 0.006581597902458651}",,,,,,
16314,Heraldine Rock,Saint Lucian,773251387,"{""B"": 0.021131469413929307, ""C"": 0.06078624589379141, ""FA"": 0.0035579064642173564, ""GA"": 0.007910013273808839, ""Start"": 0.6089795461974856, ""Stub"": 0.29763481875676745}",,,,,,
16326,Jean Poingdestre,Jersey,773316732,"{""B"": 0.02872520222583682, ""C"": 0.027211096156332434, ""FA"": 0.00372153691053176, ""GA"": 0.005334671969673234, ""Start"": 0.5523975569058566, ""Stub"": 0.3826099358317692}",,,,,,
16351,Alfonso Oiterong,Palauan,773405868,"{""B"": 0.010423241732472352, ""C"": 0.020483919019326485, ""FA"": 0.0019080353670848536, ""GA"": 0.00377971555828597, ""Start"": 0.054867407817583376, ""Stub"": 0.908537680505247}",,,,,,
16373,Vilma Cecilia Morales,Hondura,773563309,"{""B"": 0.006281812327349739, ""C"": 0.010499909738048962, ""FA"": 0.0012100343861878742, ""GA"": 0.002514930332848248, ""Start"": 0.03138119600121524, ""Stub"": 0.94811211721435}",,,,,,
16438,Josef Pfitzner,Czech Republic,773853256,"{""B"": 0.02634511672951529, ""C"": 0.053951620307292975, ""FA"": 0.0029220783538158306, ""GA"": 0.004598815719755978, ""Start"": 0.8437196389193715, ""Stub"": 0.06846272997024831}",,,,,,
16450,Anfinn Kallsberg,Faroese,773895078,"{""B"": 0.028090235851298974, ""C"": 0.04708642070409888, ""FA"": 0.004941434261657194, ""GA"": 0.007166391795381356, ""Start"": 0.6890052715493769, ""Stub"": 0.22371024583818674}",,,,,,
16562,Kasongo Ilunga,"Congo, Dem. Rep. of",774263410,"{""B"": 0.06180085685864993, ""C"": 0.2202056334636549, ""FA"": 0.00566602776047713, ""GA"": 0.02015754588901965, ""Start"": 0.6570469044808435, ""Stub"": 0.035123031547354994}",,,,,,
16603,Shin Ki-ha,South Korean,774367693,"{""B"": 0.010592806903795873, ""C"": 0.018343307532808856, ""FA"": 0.0018141571421606884, ""GA"": 0.003732979273014121, ""Start"": 0.10333779968487729, ""Stub"": 0.8621789494633432}",,,,,,
16688,Head of the Republic of North Ossetia-Alania,Ossetian,774555176,"{""B"": 0.01630746492459911, ""C"": 0.023457925668071387, ""FA"": 0.003007996282541118, ""GA"": 0.00467836712207477, ""Start"": 0.14069127199812143, ""Stub"": 0.8118569740045921}",,,,,,
16691,Peter Hanning,Jersey,774568909,"{""B"": 0.030236280133743507, ""C"": 0.06649448406654589, ""FA"": 0.003893618491735215, ""GA"": 0.007690522189434413, ""Start"": 0.6396111037804105, ""Stub"": 0.2520739913381304}",,,,,,
16701,Vladimír Franz,Czech Republic,774595725,"{""B"": 0.14467481251453845, ""C"": 0.5222879749872494, ""FA"": 0.006641537502348371, ""GA"": 0.04406611145219316, ""Start"": 0.2765523642100013, ""Stub"": 0.005777199333669344}",,,,,,
16731,Pierre Lumbi Okongo,"Congo, Dem. Rep. of",774679596,"{""B"": 0.12529468908434763, ""C"": 0.371871902610708, ""FA"": 0.005928940942227463, ""GA"": 0.03650391197009204, ""Start"": 0.4456449310688625, ""Stub"": 0.0147556243237626}",,,,,,
16751,Vice-President of Ivory Coast,Ivorian,774756970,"{""B"": 0.03687219448049497, ""C"": 0.08075568832740992, ""FA"": 0.005532878889636788, ""GA"": 0.01211705946553917, ""Start"": 0.4586061378120413, ""Stub"": 0.40611604102487786}",,,,,,
16754,Stevčo Jakimovski,Macedonia,774773036,"{""B"": 0.004644573033718671, ""C"": 0.00784810225041886, ""FA"": 0.0009999110236584858, ""GA"": 0.002140587215348074, ""Start"": 0.017488101898082937, ""Stub"": 0.9668787245787729}",,,,,,
16756,Mile Janakieski,Macedonia,774773200,"{""B"": 0.015060039615562598, ""C"": 0.04474637104685728, ""FA"": 0.002749199205577908, ""GA"": 0.0064525953674796415, ""Start"": 0.3519458033407914, ""Stub"": 0.5790459914237313}",,,,,,
16759,Vance Amory,Saint Kitts and Nevis,774778329,"{""B"": 0.37391364760010365, ""C"": 0.44916261656341, ""FA"": 0.009764510708935744, ""GA"": 0.0689994886601371, ""Start"": 0.08919637810571009, ""Stub"": 0.00896335836170341}",,,,,,
16770,Cecil Dennistoun Burney,Rhodesian,774837666,"{""B"": 0.006141951584419075, ""C"": 0.009011825095867041, ""FA"": 0.001176777657439412, ""GA"": 0.002610795124845677, ""Start"": 0.019541136935464706, ""Stub"": 0.961517513601964}",,,,,,
16777,Óscar Ortiz (El Salvador),Salvadoran,774857245,"{""B"": 0.025041708767145135, ""C"": 0.04638619744936519, ""FA"": 0.0036606846726206844, ""GA"": 0.00831313300527528, ""Start"": 0.36871774316373535, ""Stub"": 0.5478805329418585}",,,,,,
16784,"Turki bin Said, Sultan of Muscat and Oman",Omani,774877670,"{""B"": 0.016586011151286332, ""C"": 0.023227829574004173, ""FA"": 0.0029394858370831436, ""GA"": 0.0050114742805939735, ""Start"": 0.43969772211169605, ""Stub"": 0.5125374770453364}",,,,,,
16857,Lee Chunhee,South Korean,775234175,"{""B"": 0.006465260413883175, ""C"": 0.008793808954126958, ""FA"": 0.0011674116762267438, ""GA"": 0.00252377894467347, ""Start"": 0.019133627429090982, ""Stub"": 0.9619161125819986}",,,,,,
16858,Peter Josie,Saint Lucian,775241473,"{""B"": 0.14030187347014625, ""C"": 0.3129218747914846, ""FA"": 0.005512334077523955, ""GA"": 0.02203281602391219, ""Start"": 0.48531632297870386, ""Stub"": 0.03391477865822898}",,,,,,
16897,Ahn Dae-hee,South Korean,775458263,"{""B"": 0.04041546017683342, ""C"": 0.12997181476880726, ""FA"": 0.005178551352164805, ""GA"": 0.014414578101914004, ""Start"": 0.21545940640823333, ""Stub"": 0.5945601891920472}",,,,,,
16898,Ahn Gyu-baek,South Korean,775458608,"{""B"": 0.06239741551457203, ""C"": 0.20099864513757584, ""FA"": 0.005152683217192783, ""GA"": 0.02291290520604457, ""Start"": 0.6440657158128295, ""Stub"": 0.06447263511178533}",,,,,,
16899,Park Hong-keun,South Korean,775458639,"{""B"": 0.06610245927865532, ""C"": 0.22334072509658348, ""FA"": 0.006175087175995065, ""GA"": 0.018048185510244535, ""Start"": 0.5453929081534009, ""Stub"": 0.14094063478512078}",,,,,,
16905,George Strahan,Cape Colony,775481498,"{""B"": 0.06407944355254598, ""C"": 0.13277779873966694, ""FA"": 0.0035152963847396215, ""GA"": 0.0057780064809953065, ""Start"": 0.7712285805991514, ""Stub"": 0.02262087424290068}",,,,,,
17023,Sani Lakatani,Niuean,775947817,"{""B"": 0.006402986463051658, ""C"": 0.008666087262048853, ""FA"": 0.001192592755468672, ""GA"": 0.0021516336560100315, ""Start"": 0.022948541103923116, ""Stub"": 0.9586381587594978}",,,,,,
17088,Jan Stocklassa,Czech Republic,776095794,"{""B"": 0.008423648042911703, ""C"": 0.016658628838642744, ""FA"": 0.0015768062695087684, ""GA"": 0.0038862296436908738, ""Start"": 0.08607128311602949, ""Stub"": 0.8833834040892163}",,,,,,
17114,Jaroslav Krejčí,Czech Republic,776197284,"{""B"": 0.023892800573626447, ""C"": 0.05178753571463796, ""FA"": 0.003961919013997954, ""GA"": 0.006610017993424577, ""Start"": 0.7851655353185631, ""Stub"": 0.12858219138575003}",,,,,,
17140,Boekenhoutfontein,South African Republic,776299184,"{""B"": 0.10154938090350804, ""C"": 0.09655371879363632, ""FA"": 0.004045310989004645, ""GA"": 0.008201589571787652, ""Start"": 0.7652076870228018, ""Stub"": 0.02444231271926147}",,,,,,
17154,Libuše Benešová,Czech Republic,776338134,"{""B"": 0.0076159914297269865, ""C"": 0.010797850192830612, ""FA"": 0.0014361794262695675, ""GA"": 0.0030409589905311014, ""Start"": 0.03604107402867393, ""Stub"": 0.941067945931968}",,,,,,
17155,Daniela Filipiová,Czech Republic,776338195,"{""B"": 0.07323987687939454, ""C"": 0.2294892468724994, ""FA"": 0.005331359270431411, ""GA"": 0.018107999109182614, ""Start"": 0.6266432509375613, ""Stub"": 0.04718826693093071}",,,,,,
17161,Jean Konan Banny,Ivorian,776348888,"{""B"": 0.04357321157069647, ""C"": 0.1336910640175881, ""FA"": 0.0040283117367288495, ""GA"": 0.01644148344272503, ""Start"": 0.7394295900786443, ""Stub"": 0.06283633915361722}",,,,,,
17171,Jeannette Kavira Mapera,"Congo, Dem. Rep. of",776372644,"{""B"": 0.0193249412321625, ""C"": 0.04697994480665586, ""FA"": 0.0030931785055745733, ""GA"": 0.00791622045969987, ""Start"": 0.3699577378862177, ""Stub"": 0.5527279771096895}",,,,,,
17172,Jeannine Compton-Antoine,Saint Lucian,776374386,"{""B"": 0.010145108723182087, ""C"": 0.020073590956219623, ""FA"": 0.0017645627975807915, ""GA"": 0.0045019579961566554, ""Start"": 0.1079096313005123, ""Stub"": 0.8556051482263486}",,,,,,
17198,Moses Porges von Portheim,Czech Republic,776487173,"{""B"": 0.0300802656030379, ""C"": 0.03232229342907685, ""FA"": 0.004458429750072648, ""GA"": 0.006605455735180245, ""Start"": 0.7255225805705966, ""Stub"": 0.20101097491203582}",,,,,,
17206,Jan Kasl,Czech Republic,776508129,"{""B"": 0.05194003959076403, ""C"": 0.1703089566224248, ""FA"": 0.005748284564770984, ""GA"": 0.009026321176946782, ""Start"": 0.7202010535753731, ""Stub"": 0.04277534446972032}",,,,,,
17207,Jiří Kittner,Czech Republic,776509425,"{""B"": 0.007915227678078021, ""C"": 0.008538613319427174, ""FA"": 0.0014045192761033794, ""GA"": 0.00224376276521578, ""Start"": 0.03746351457632561, ""Stub"": 0.94243436238485}",,,,,,
17210,Miloslav Vlček,Czech Republic,776513404,"{""B"": 0.008831427862476537, ""C"": 0.012662174917006297, ""FA"": 0.0017504263510255082, ""GA"": 0.0031730602114511766, ""Start"": 0.054682467874492456, ""Stub"": 0.918900442783548}",,,,,,
17211,Ivo Svoboda (politician),Czech Republic,776513552,"{""B"": 0.036261071326131114, ""C"": 0.09603271118736838, ""FA"": 0.004939030832809866, ""GA"": 0.015664458800950812, ""Start"": 0.6360842356292472, ""Stub"": 0.21101849222349278}",,,,,,
17212,Hana Orgoníková,Czech Republic,776513802,"{""B"": 0.00978873146979416, ""C"": 0.014621978054646583, ""FA"": 0.0018643259860323333, ""GA"": 0.003637102524000825, ""Start"": 0.05538795113296898, ""Stub"": 0.9146999108325572}",,,,,,
17213,Pavel Dostál,Czech Republic,776514175,"{""B"": 0.027640622060220763, ""C"": 0.037423304054785896, ""FA"": 0.004623386715377882, ""GA"": 0.006898557380684541, ""Start"": 0.6836148774048126, ""Stub"": 0.23979925238411837}",,,,,,
17260,John Bardwell Ebden,Cape Colony,776725178,"{""B"": 0.0919093429706045, ""C"": 0.21931194287993241, ""FA"": 0.003794909486740024, ""GA"": 0.007025943265704159, ""Start"": 0.6665996144839986, ""Stub"": 0.011358246913020065}",,,,,,
17268,Jiří Lobkowicz,Czech Republic,776751749,"{""B"": 0.0070615092354433156, ""C"": 0.010328019334375833, ""FA"": 0.0013184960403419376, ""GA"": 0.002887624054806492, ""Start"": 0.027316544945389504, ""Stub"": 0.951087806389643}",,,,,,
17383,Ahn Sang-yeong,South Korean,777008205,"{""B"": 0.015993643179423016, ""C"": 0.03242549209839659, ""FA"": 0.0025802935521613835, ""GA"": 0.005600532554667197, ""Start"": 0.1648257595605301, ""Stub"": 0.7785742790548217}",,,,,,
17406,Jang Deok-jin,South Korean,777070214,"{""B"": 0.009076143203333, ""C"": 0.011702264348362601, ""FA"": 0.0016002618915165643, ""GA"": 0.003351543711263427, ""Start"": 0.0657623706785416, ""Stub"": 0.9085074161669828}",,,,,,
17458,Johnson Toribiong,Palauan,777304756,"{""B"": 0.1565735180450863, ""C"": 0.30825168978220857, ""FA"": 0.007228857844828625, ""GA"": 0.04653920289826465, ""Start"": 0.45322669873880006, ""Stub"": 0.028180032690811874}",,,,,,
17464,Carlos Zúñiga Figueroa,Hondura,777334919,"{""B"": 0.030907529236438438, ""C"": 0.06343179602814547, ""FA"": 0.0045948051020393305, ""GA"": 0.007706291694251953, ""Start"": 0.6377972590045915, ""Stub"": 0.25556231893453324}",,,,,,
17566,Josip Jurčič,Carniolan,777587526,"{""B"": 0.021762267724903854, ""C"": 0.03924674431243554, ""FA"": 0.003297852927298245, ""GA"": 0.005675644934214034, ""Start"": 0.44560849990558454, ""Stub"": 0.4844089901955637}",,,,,,
17568,Josip Vošnjak,Carniolan,777588436,"{""B"": 0.13079155997121394, ""C"": 0.2530529646566719, ""FA"": 0.004613231154036969, ""GA"": 0.00801490327539024, ""Start"": 0.5925526264722734, ""Stub"": 0.010974714470413696}",,,,,,
17571,José Adolfo Alvarado Lara,Hondura,777592070,"{""B"": 0.006590702574149519, ""C"": 0.007353658324539557, ""FA"": 0.0012028430873811606, ""GA"": 0.001889785405210641, ""Start"": 0.016425652164805113, ""Stub"": 0.966537358443914}",,,,,,
17579,José Damián Villacorta,Salvadoran,777601256,"{""B"": 0.04212349190507812, ""C"": 0.046389355545772476, ""FA"": 0.004638233886316621, ""GA"": 0.006986532309769708, ""Start"": 0.7006593172713239, ""Stub"": 0.19920306908173913}",,,,,,
17581,José Escolástico Marín,Salvadoran,777602660,"{""B"": 0.0072475722261560625, ""C"": 0.009044941703862976, ""FA"": 0.0013313049445470074, ""GA"": 0.0020484427065180187, ""Start"": 0.027238468566298968, ""Stub"": 0.953089269852617}",,,,,,
17595,José María Cornejo,Salvadoran,777612972,"{""B"": 0.061207102695865885, ""C"": 0.09816942407405643, ""FA"": 0.004519899413686197, ""GA"": 0.007477516928895634, ""Start"": 0.7401163060215068, ""Stub"": 0.08850975086598906}",,,,,,
17596,José María Peralta Lagos,Salvadoran,777613551,"{""B"": 0.012825732087927555, ""C"": 0.022634994806670968, ""FA"": 0.002259683520439574, ""GA"": 0.004359993084019105, ""Start"": 0.2534372644235199, ""Stub"": 0.704482332077423}",,,,,,
17597,José María San Martín,Salvadoran,777613737,"{""B"": 0.08157279494184225, ""C"": 0.204844982038482, ""FA"": 0.004881119786156358, ""GA"": 0.007910843268357972, ""Start"": 0.6719810471027904, ""Stub"": 0.028809212862371078}",,,,,,
17598,José María Silva,Salvadoran,777613786,"{""B"": 0.07031155476459054, ""C"": 0.05744244371023145, ""FA"": 0.004994550435022071, ""GA"": 0.007338695586482846, ""Start"": 0.780622495191578, ""Stub"": 0.07929026031209498}",,,,,,
17638,Juan Carlos Zuniga,Hondura,777669643,"{""B"": 0.0076513371615393126, ""C"": 0.010089380165698533, ""FA"": 0.001398040256388513, ""GA"": 0.0027450392121588624, ""Start"": 0.02190734443211758, ""Stub"": 0.956208858772097}",,,,,,
17647,Juan Manuel Rodríguez,Salvadoran,777685186,"{""B"": 0.07767698624486666, ""C"": 0.12712462184942921, ""FA"": 0.005011468130944778, ""GA"": 0.008060153847403648, ""Start"": 0.7250374983365105, ""Stub"": 0.05708927159084517}",,,,,,
17655,Juan Vicente Villacorta Díaz,Salvadoran,777698313,"{""B"": 0.020562224311719248, ""C"": 0.02432072730455285, ""FA"": 0.0035404397290750805, ""GA"": 0.00535999677175154, ""Start"": 0.49132921682500535, ""Stub"": 0.45488739505789594}",,,,,,
17696,Julio Lozano Díaz,Hondura,777796210,"{""B"": 0.014321993579061025, ""C"": 0.02509016524167044, ""FA"": 0.0027453232571290234, ""GA"": 0.004747728283707955, ""Start"": 0.2647126633018661, ""Stub"": 0.6883821263365656}",,,,,,
17721,Bohuslav Kokotek,Czech Republic,777876483,"{""B"": 0.008586742084566617, ""C"": 0.00964362543605173, ""FA"": 0.0013705683582413905, ""GA"": 0.002250309350496683, ""Start"": 0.05412313736159535, ""Stub"": 0.9240256174090483}",,,,,,
17767,Alena Hanáková,Czech Republic,778095433,"{""B"": 0.00825733110648365, ""C"": 0.014835532498442798, ""FA"": 0.0015912659273978585, ""GA"": 0.002969238991146493, ""Start"": 0.03185648480595526, ""Stub"": 0.9404901466705737}",,,,,,
17861,Katrine Larsen Lenner,Greenlandic,778461046,"{""B"": 0.0059082899660053345, ""C"": 0.00803342903037002, ""FA"": 0.0011214257460348232, ""GA"": 0.002210981094703798, ""Start"": 0.016009858723799637, ""Stub"": 0.9667160154390864}",,,,,,
17863,Edmund Wickham Lawrence (Governor-General),Saint Kitts and Nevis,778464259,"{""B"": 0.04682374014870328, ""C"": 0.12720069152672164, ""FA"": 0.006088455110301617, ""GA"": 0.01059222793006178, ""Start"": 0.7063128540791643, ""Stub"": 0.1029820312050474}",,,,,,
