,page,country,rev_id,ores_score,FIPS,Name,Type,TimeFrame,Data (M),Population
236,Andries Botha,Cape Colony,676828191,"{""B"": 0.4207218780694838, ""C"": 0.34656522221949226, ""FA"": 0.007096898324786597, ""GA"": 0.01661643847254342, ""Start"": 0.20364034987714416, ""Stub"": 0.00535921303654959}",,,,,,
258,Joaquín Escolán y Balibrera,Salvadoran,679294949,"{""B"": 0.01340052001831332, ""C"": 0.012753885654468769, ""FA"": 0.0019426267802751967, ""GA"": 0.003197944036588803, ""Start"": 0.11500633726758604, ""Stub"": 0.8536986862427678}",,,,,,
270,Charles William Hutton,Cape Colony,680205631,"{""B"": 0.20917164654125478, ""C"": 0.42784772623542305, ""FA"": 0.00566254025079345, ""GA"": 0.011468947090369268, ""Start"": 0.33583159855003714, ""Stub"": 0.010017541332122345}",,,,,,
272,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,"{""B"": 0.006931707926756321, ""C"": 0.009696976196347847, ""FA"": 0.0012278073933979497, ""GA"": 0.002443664101399765, ""Start"": 0.02059640980773054, ""Stub"": 0.9591034345743675}",,,,,,
286,William Fairbridge,Rhodesian,682576258,"{""B"": 0.07507207751941211, ""C"": 0.3262686323160603, ""FA"": 0.0041329353853398615, ""GA"": 0.012090672717319595, ""Start"": 0.5676200558869497, ""Stub"": 0.014815626174918424}",,,,,,
323,Earl Asim Martin,Saint Kitts and Nevis,687127320,"{""B"": 0.00711275330747016, ""C"": 0.009527768249457882, ""FA"": 0.0012633414151871645, ""GA"": 0.002640324001956204, ""Start"": 0.025432731767290127, ""Stub"": 0.9540230812586387}",,,,,,
352,List of mayors of Radoviš,Macedonia,690088836,"{""B"": 0.016280083954539247, ""C"": 0.023181575174455658, ""FA"": 0.002753317190279598, ""GA"": 0.005119808138145668, ""Start"": 0.0899827366895923, ""Stub"": 0.8626824788529875}",,,,,,
388,John Blades Currey,Cape Colony,693624260,"{""B"": 0.017347937688554024, ""C"": 0.023739882001140838, ""FA"": 0.0029920377026914874, ""GA"": 0.0067686198022208115, ""Start"": 0.13234036432824522, ""Stub"": 0.8168111584771476}",,,,,,
401,Zaur Avidzba,Abkhazia,694519009,"{""B"": 0.05343836595000042, ""C"": 0.16028745664812794, ""FA"": 0.005465099687355083, ""GA"": 0.018550576975320292, ""Start"": 0.5610959631257558, ""Stub"": 0.2011625376134404}",,,,,,
499,"List of members of the Løgting, 1998–2002",Faroese,698865505,"{""B"": 0.06796932546547847, ""C"": 0.07905394375200675, ""FA"": 0.004559006871561288, ""GA"": 0.007254798789728062, ""Start"": 0.6533405184631473, ""Stub"": 0.18782240665807795}",,,,,,
570,José Abel,East Timorese,699698855,"{""B"": 0.008171382956339863, ""C"": 0.011695776396276062, ""FA"": 0.0015213000918611523, ""GA"": 0.003130286816396912, ""Start"": 0.04412774912691833, ""Stub"": 0.9313535046122078}",,,,,,
588,Tórbjørn Poulsen,Faroese,700400143,"{""B"": 0.008189738842738846, ""C"": 0.012307117621752673, ""FA"": 0.001422945675891801, ""GA"": 0.003376557538561686, ""Start"": 0.044398184861956555, ""Stub"": 0.9303054554590985}",,,,,,
613,Demmus Hentze,Faroese,701771698,"{""B"": 0.03192944628821257, ""C"": 0.10868539988806222, ""FA"": 0.005153054754063023, ""GA"": 0.012011668914243455, ""Start"": 0.6055647947067394, ""Stub"": 0.23665563544867924}",,,,,,
644,Young Vivian,Niuean,703037968,"{""B"": 0.02757526431073422, ""C"": 0.05268315958234075, ""FA"": 0.005353203130207247, ""GA"": 0.008109797631338702, ""Start"": 0.6059126499957098, ""Stub"": 0.3003659253496693}",,,,,,
663,Noel Ahipeaud,Ivorian,703133769,"{""B"": 0.005359812314750452, ""C"": 0.0065475367388504405, ""FA"": 0.0009772378152629454, ""GA"": 0.0017099257047097922, ""Start"": 0.011285131476632036, ""Stub"": 0.9741203559497944}",,,,,,
694,Simon Jenko,Carniolan,703436823,"{""B"": 0.025804368443411878, ""C"": 0.043699810202470074, ""FA"": 0.0037957562381676596, ""GA"": 0.007163487797952287, ""Start"": 0.641045649711283, ""Stub"": 0.2784909276067152}",,,,,,
697,Park In-won,South Korean,703478926,"{""B"": 0.008240671618622599, ""C"": 0.009070051600537959, ""FA"": 0.0014572394238926089, ""GA"": 0.00227074015987697, ""Start"": 0.042915249428276535, ""Stub"": 0.9360460477687933}",,,,,,
716,Paul Southwell,Saint Kitts and Nevis,703666654,"{""B"": 0.045506751861169974, ""C"": 0.14180349704784936, ""FA"": 0.005375995525799329, ""GA"": 0.008949886734242586, ""Start"": 0.7120261948350178, ""Stub"": 0.08633767399592081}",,,,,,
724,Petrus Compton,Saint Lucian,703819839,"{""B"": 0.009746199412077423, ""C"": 0.012103607834883233, ""FA"": 0.001806428313363827, ""GA"": 0.0031934687888418227, ""Start"": 0.11578969536051181, ""Stub"": 0.8573606002903218}",,,,,,
745,Jan Malypetr,Czech Republic,704424304,"{""B"": 0.011692049054768927, ""C"": 0.014828947660028078, ""FA"": 0.002093148535380206, ""GA"": 0.003392459096166199, ""Start"": 0.12108573898239905, ""Stub"": 0.8469076566712576}",,,,,,
781,Thomas François Burgers,South African Republic,704636517,"{""B"": 0.20534812986750886, ""C"": 0.3922235473717261, ""FA"": 0.006795932226034635, ""GA"": 0.030508264493919864, ""Start"": 0.3584519722907085, ""Stub"": 0.006672153750101975}",,,,,,
791,Céleo Arias,Hondura,704789339,"{""B"": 0.007360987808352363, ""C"": 0.007170159300946281, ""FA"": 0.001367953202537348, ""GA"": 0.0018221817475852647, ""Start"": 0.026929719108073204, ""Stub"": 0.9553489988325053}",,,,,,
810,James Ah Koy,Samoan,704919844,"{""B"": 0.7348522228506384, ""C"": 0.15333994601555104, ""FA"": 0.013635712265441052, ""GA"": 0.008980957563623961, ""Start"": 0.08119399662290741, ""Stub"": 0.007997164681837967}",,,,,,
814,Zaur Ardzinba,Abkhazia,704938340,"{""B"": 0.17584192500255313, ""C"": 0.3560096487505996, ""FA"": 0.0045890900759550605, ""GA"": 0.01934748229942124, ""Start"": 0.42963213575814135, ""Stub"": 0.014579718113329624}",,,,,,
827,Emanuel Moravec,Czech Republic,705080136,"{""B"": 0.025843792404886122, ""C"": 0.04257900762296167, ""FA"": 0.003672559620323465, ""GA"": 0.006674996927518175, ""Start"": 0.6622408187169668, ""Stub"": 0.2589888247073438}",,,,,,
845,Va'aelua Eti Alesana,Samoan,705218371,"{""B"": 0.02656559868763781, ""C"": 0.09123954070639649, ""FA"": 0.0038399059142877404, ""GA"": 0.01475301607714779, ""Start"": 0.6026783196846288, ""Stub"": 0.26092361892990146}",,,,,,
874,Juan Francisco de Molina,Hondura,705346284,"{""B"": 0.005110540374401723, ""C"": 0.005126026246761028, ""FA"": 0.000999576757346947, ""GA"": 0.0014433465376249397, ""Start"": 0.009602454755520741, ""Stub"": 0.9777180553283447}",,,,,,
875,Felipe Neri Medina,Hondura,705346304,"{""B"": 0.016573523183081862, ""C"": 0.017703847314807866, ""FA"": 0.002758544114032879, ""GA"": 0.004220779116075333, ""Start"": 0.24392533937122568, ""Stub"": 0.7148179669007764}",,,,,,
876,Mariano Garrigó,Hondura,705346378,"{""B"": 0.005207361449654172, ""C"": 0.005204056773757891, ""FA"": 0.0010182507785048694, ""GA"": 0.0014623892833067875, ""Start"": 0.009762910895865234, ""Stub"": 0.9773450308189111}",,,,,,
877,José María Bustillo (Honduran),Hondura,705346396,"{""B"": 0.006742934023887728, ""C"": 0.007765276788928168, ""FA"": 0.0013782731311154982, ""GA"": 0.001959406800672949, ""Start"": 0.018208340467650748, ""Stub"": 0.9639457687877448}",,,,,,
878,Francisco Gómez (acting president),Hondura,705346462,"{""B"": 0.005363902865551967, ""C"": 0.005777134412353075, ""FA"": 0.0010679123957300764, ""GA"": 0.0015608691114519526, ""Start"": 0.01020536996288968, ""Stub"": 0.9760248112520231}",,,,,,
879,Salvador Aguirre (Honduras),Hondura,705346724,"{""B"": 0.009124352721669548, ""C"": 0.008792345882252122, ""FA"": 0.0015080017039935853, ""GA"": 0.00281118759669872, ""Start"": 0.025877813499242973, ""Stub"": 0.951886298596143}",,,,,,
880,Francisco Bográn,Hondura,705346741,"{""B"": 0.005683779187492884, ""C"": 0.006574486129342236, ""FA"": 0.0010508981666512548, ""GA"": 0.0016746287185916457, ""Start"": 0.01152672719190103, ""Stub"": 0.9734894806060211}",,,,,,
902,Fermín Palacios,Salvadoran,705353491,"{""B"": 0.006666158319313331, ""C"": 0.008284273323910046, ""FA"": 0.0012336739900140762, ""GA"": 0.001915859922039501, ""Start"": 0.023444319994199523, ""Stub"": 0.9584557144505235}",,,,,,
903,Eugenio Aguilar,Salvadoran,705353565,"{""B"": 0.005590935986639499, ""C"": 0.0057139533021965975, ""FA"": 0.0010921217897953207, ""GA"": 0.0015715249965105023, ""Start"": 0.01076969208943001, ""Stub"": 0.9752617718354282}",,,,,,
904,Tomás Medina,Salvadoran,705353584,"{""B"": 0.005339024797129857, ""C"": 0.006074342281124696, ""FA"": 0.00098228485471783, ""GA"": 0.0015480910540094338, ""Start"": 0.010705873396866147, ""Stub"": 0.975350383616152}",,,,,,
905,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,"{""B"": 0.005230172838142131, ""C"": 0.005431445455124702, ""FA"": 0.0010364883007847286, ""GA"": 0.0014986826946612282, ""Start"": 0.009582616402378615, ""Stub"": 0.9772205943089085}",,,,,,
906,Vicente Gómez,Salvadoran,705353678,"{""B"": 0.005168527149241566, ""C"": 0.005330568256677603, ""FA"": 0.0010238530279225524, ""GA"": 0.0014615795874834512, ""Start"": 0.009549853265675897, ""Stub"": 0.977465618712999}",,,,,,
907,Lorenzo Zepeda,Salvadoran,705353843,"{""B"": 0.005229553244761408, ""C"": 0.005430802017946638, ""FA"": 0.0010363655130088295, ""GA"": 0.0014985051529420243, ""Start"": 0.0096999463786569, ""Stub"": 0.9771048276926841}",,,,,,
908,José María Peralta,Salvadoran,705353896,"{""B"": 0.006975268084621063, ""C"": 0.007166235520414524, ""FA"": 0.0013701676139904538, ""GA"": 0.001983646505483979, ""Start"": 0.013276982880718283, ""Stub"": 0.9692276993947716}",,,,,,
909,Francisco Menéndez,Salvadoran,705353975,"{""B"": 0.010524351986126052, ""C"": 0.01385542338755319, ""FA"": 0.0018239423208500428, ""GA"": 0.003018176787963355, ""Start"": 0.09580912095574144, ""Stub"": 0.874968984561766}",,,,,,
910,Pedro José Escalón,Salvadoran,705354095,"{""B"": 0.013403610058906668, ""C"": 0.019136861366042906, ""FA"": 0.002537670784771476, ""GA"": 0.004617103857755759, ""Start"": 0.22215880680992792, ""Stub"": 0.7381459471225953}",,,,,,
911,Fernando Figueroa,Salvadoran,705354112,"{""B"": 0.009385106074225004, ""C"": 0.012329618832372793, ""FA"": 0.0015733221281547967, ""GA"": 0.0028969419552820203, ""Start"": 0.07372291275233607, ""Stub"": 0.9000920982576294}",,,,,,
912,Carlos Meléndez (politician),Salvadoran,705354212,"{""B"": 0.008244734635409333, ""C"": 0.009686335810834248, ""FA"": 0.00165610091332382, ""GA"": 0.0023218536372658365, ""Start"": 0.033554023435093394, ""Stub"": 0.9445369515680735}",,,,,,
929,Fabio Castillo Figueroa,Salvadoran,705385310,"{""B"": 0.005511301117149366, ""C"": 0.008582877202346009, ""FA"": 0.0009762079325080603, ""GA"": 0.0022452137394759287, ""Start"": 0.012712259352370744, ""Stub"": 0.9699721406561499}",,,,,,
931,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654,"{""B"": 0.019382192625433146, ""C"": 0.018178229943043876, ""FA"": 0.002874498331276688, ""GA"": 0.00433525842008832, ""Start"": 0.2310512311951471, ""Stub"": 0.7241785894850109}",,,,,,
979,Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214,"{""B"": 0.004778516509564044, ""C"": 0.008053832967480369, ""FA"": 0.0009171801733728883, ""GA"": 0.0021282095465444935, ""Start"": 0.012051502216394621, ""Stub"": 0.9720707585866436}",,,,,,
981,Ntumba Luaba,"Congo, Dem. Rep. of",705723187,"{""B"": 0.016916404057705513, ""C"": 0.029679751368858535, ""FA"": 0.0031778112964943863, ""GA"": 0.005548414590974849, ""Start"": 0.4577323197961093, ""Stub"": 0.48694529888985727}",,,,,,
982,Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441,"{""B"": 0.006509828842683591, ""C"": 0.0071302729830780695, ""FA"": 0.0011610121398600976, ""GA"": 0.0017898483217153212, ""Start"": 0.015153303663577375, ""Stub"": 0.9682557340490856}",,,,,,
1042,Misa Telefoni Retzlaff,Samoan,706207837,"{""B"": 0.03936289266974263, ""C"": 0.12325346228570465, ""FA"": 0.004651420261416828, ""GA"": 0.015506710873252992, ""Start"": 0.7619853127416866, ""Stub"": 0.05524020116819647}",,,,,,
1153,Ricardo Montenegro,Salvadoran,706769596,"{""B"": 0.011093081071443025, ""C"": 0.014014866093389788, ""FA"": 0.0013750604398944937, ""GA"": 0.002932714964585223, ""Start"": 0.05756040576041389, ""Stub"": 0.9130238716702737}",,,,,,
1154,Vicente Flores,Incan,706771757,"{""B"": 0.004966212889362969, ""C"": 0.006755530321500263, ""FA"": 0.000981702614350378, ""GA"": 0.002022993145265448, ""Start"": 0.010984515781619944, ""Stub"": 0.9742890452479009}",,,,,,
1167,Luagalau Levaula Kamu,Samoan,706804758,"{""B"": 0.01542393474235769, ""C"": 0.013664708471355345, ""FA"": 0.00257976029976039, ""GA"": 0.0037023839540718108, ""Start"": 0.14673574232271583, ""Stub"": 0.8178934702097389}",,,,,,
1176,Leafa Vitale,Samoan,706837234,"{""B"": 0.017435419353767544, ""C"": 0.04289595006011731, ""FA"": 0.0032105819601462543, ""GA"": 0.006594244708380632, ""Start"": 0.40611497633800137, ""Stub"": 0.523748827579587}",,,,,,
1243,Khozh-Ahmed Noukhayev,Chechen,707217873,"{""B"": 0.23907882832723729, ""C"": 0.3864861237299583, ""FA"": 0.004667339596562431, ""GA"": 0.007621795847354986, ""Start"": 0.3572151551650587, ""Stub"": 0.004930757333828451}",,,,,,
1285,Rafael Campo,Salvadoran,707399758,"{""B"": 0.028725869903612783, ""C"": 0.042994973808450576, ""FA"": 0.0045326935881497355, ""GA"": 0.007403183551883374, ""Start"": 0.5000458241553322, ""Stub"": 0.4162974549925714}",,,,,,
1286,Miguel Santín del Castillo,Salvadoran,707400213,"{""B"": 0.007445860053196685, ""C"": 0.009777505535127877, ""FA"": 0.0012961113884622391, ""GA"": 0.002433646930113612, ""Start"": 0.024895216228663544, ""Stub"": 0.9541516598644362}",,,,,,
1287,Osmín Aguirre y Salinas,Salvadoran,707403482,"{""B"": 0.010731545825409116, ""C"": 0.013340961320249445, ""FA"": 0.0021921121815402173, ""GA"": 0.003010035900779742, ""Start"": 0.11426893551271426, ""Stub"": 0.8564564092593072}",,,,,,
1288,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,"{""B"": 0.0065644601114889815, ""C"": 0.007405094574426814, ""FA"": 0.0013359470836042842, ""GA"": 0.0018800304949002666, ""Start"": 0.020690872067866198, ""Stub"": 0.9621235956677134}",,,,,,
1303,Juan José Guzmán,Salvadoran,707519272,"{""B"": 0.00595299445880903, ""C"": 0.007198043468005981, ""FA"": 0.0010976900771481148, ""GA"": 0.001746547398363759, ""Start"": 0.014980167626036598, ""Stub"": 0.9690245569716367}",,,,,,
1305,Niko Lee Hang,Samoan,707525246,"{""B"": 0.00838996032877162, ""C"": 0.008837738298737735, ""FA"": 0.001306272512509657, ""GA"": 0.0020837672039020066, ""Start"": 0.028250150381927356, ""Stub"": 0.9511321112741516}",,,,,,
1306,Tuu'u Anasi'i Leota,Samoan,707525315,"{""B"": 0.011782109291139937, ""C"": 0.016071478021637338, ""FA"": 0.0019202172791666747, ""GA"": 0.003202953778887604, ""Start"": 0.12375208662919808, ""Stub"": 0.8432711549999703}",,,,,,
