,page,country,rev_id,ores_score
16455,Muhammad Yar Khan Mandokhail,Pakistan,771642775,
16589,Walter Lee (Louisiana politician),United States,772176512,
16659,Mark M. Noble,United States,772567736,
16883,Isaura Gomes,Cape Verde,773323473,
16890,Hari Bahadur Rai,Nepal,773355081,
16942,Viviana Piñeiro,Uruguay,773601556,
17051,Khaled Negm,Egypt,774023957,
17135,Phil Hobson,United Kingdom,774293013,
18000,John Palino,New Zealand,777163201,
18411,Larry Holmes (activist),United States,778388481,
18491,Debojeet Thaosen,India,778618827,
18684,Jacek Maciej Wenderlich,Poland,779101752,
18696,Mohamad Hamim Aliyas,Singapore,779135011,
18828,Ina Ambolodto,Philippines,779409209,
19184,José Ricardo Salazar,Venezuela,779899001,
19206,Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,
19209,Rana Assad Amin,Pakistan,779957437,
19526,Claudia Pastorino,Italy,781072934,
19642,Jama Mohamud Takar,Somalia,781427254,
19874,Batul Soltani,Iran,782170063,
20005,Marcia Dangremon,Brazil,782508289,
20445,Rose Sales,Brazil,783382630,
20976,Met Bozi,Albania,784558743,
21971,Mariano Lazcano,Spain,786721553,
22263,Mian Fareed Abbas Kathia,Pakistan,787181453,
22435,Nihal Naj Ali Al-Awlaqi,Yemen,787353922,
22541,Abdolmajid Pirzadeh Jahromi,Iran,787391918,
22562,Abdul Latif Khalid Cheema,Pakistan,787398581,
22631,Abdurahman H. H. Osman 'Mallay',Somalia,787453368,
23150,Thoraya Obaid,Saudi Arabia,788037971,
23427,Rahul Sinha,India,788289620,
23464,Mahesh Kumar,Pakistan,788310383,
23897,Vithal Chavan,India,788722110,
24858,Jaybahadur Hitan Magar,Nepal,788844423,
25363,Amirreza Amirbakhtiar,Iran,788884593,
26073,Fernando Linera,Spain,789080627,
26141,Andrés Ycaza Mantilla,Ecuador,789150159,
26267,Carlo Pezzati,Italy,789262504,
26289,Patrick Binder,France,789266166,
26468,Harald Haas (Pirate Party),Austria,789271422,
26579,Zhang Yuhuan,China,789281061,
26616,Saqib Idrees Taj,Pakistan,789285351,
26622,Hameeda Waheeduddin,Pakistan,789285762,
26629,Zheng Shekui,China,789286413,
27707,Prasanna Earnest,India,789444415,
28089,Chowdhary Balbir Singh,India,789736824,
28238,Arthur C. Watson,United States,789816636,
28644,Farouk Sharif,Philippines,790028876,
28801,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,
29003,Hrayr Karapetyan,Armenia,790410710,
29776,Bill Evans (politician),United States,791429003,
30095,Claybourn – Claiborne – Clayborn family,United States,791866288,
30296,N. Padmalochanan,India,792184018,
30432,Marko Selakovic,Serbia,792400552,
30458,Praveen Agrawal,India,792440851,
30660,Caleb Crosby,United States,792857662,
30706,Draft:John Johansson i Gränö,Sweden,792933603,
30952,Tibor Gaal de Hatvan,Hungary,793280504,
31685,Chukwuemeka Ihedioha,Nigeria,794311724,
31734,Gregorei Alexandrovich,Russia,794409906,
32023,Josh Miller (politician),United States,794768894,
32088,List of Ghana heads of state by age,Ghana,794866848,
32233,Alfred Moungara Moussotsi,Gabon,794990759,
32617,Hari Bhakta Kandel,Nepal,795545202,
32688,Fraz Wahlah,Pakistan,795588781,
33623,Hovik Jivanyan,Armenia,796744496,
33643,Stanford Morse,United States,796758810,
34161,Dan Hilton,Canada,797311794,
34736,Volodymyr Manzhosov,Ukraine,797902544,
34879,Misir Mardanov,Azerbaijan,798073295,
35449,Jesse Spikes,United States,798615865,
35635,Ramesh Chander Bidhan,India,798841317,
35666,Abdullah bin Mohammed Al Thani,United Arab Emirates,798865216,
35712,Maria Hadjipavlou,Cyprus,798891126,
35796,Kevin Malcolm Everett,United Kingdom,798945915,
35801,Darcie Lanthier,Canada,798952867,
35904,Morteza Kazemian,Iran,799036953,
36136,V. Sadasivan,India,799263010,
36171,Norm Wolfinger,United States,799300265,
36465,Mohd Eekmal Ahmad,Malaysia,799540668,
36825,Raja Muhammad Akbar Khan,Pakistan,799880073,
36895,Rich Eychaner,United States,799933274,
36944,José Francisco Gomes Monteiro,Portugal,799981363,
37029,Michael McInerney,Ireland,800072571,
37105,Craig Huey,United States,800144885,
37214,Abhimanyu Rao,India,800233652,
37431,Donald Jeffrey Large,United States,800299837,
37617,Dragan Klaric,Sweden,800471126,
37698,Bashir Ahmed Sarki,Pakistan,800574730,
37833,Siddique Nazmul Alam,Bangladesh,800707821,
37953,Vasyl Stefanyk,Hungary,800802122,
38352,Georges Sada,Iraq,801177435,
38578,Anwara Ali,United Kingdom,801306872,
38939,Secular and Nationalist Jinnah,Pakistan,801536406,
38991,Ambedkarism,India,801563949,
38994,Michael Briguglio,Malta,801566979,
39097,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,
39141,Abhijit Pandya,United Kingdom,801696196,
39267,Ouyang Xiu,China,801835819,
39596,Ali Asghar Khan (politician),Pakistan,802148439,
39711,List of politicians on Veep,United States,802302246,
39961,Daniel O'Neill (Royalist),Ireland,802445176,
40033,Ananda Syahendar Perdana,Indonesia,802475516,
40067,Ezatullah Mujahid,Afghanistan,802515929,
40379,Maciej Filip Zegarski,Poland,802765034,
40526,Bernard Binlin Dadié,Ivorian,802904214,
